"Name","Position","Year","Selection","GPYr1","PSYr1","TOIYr1","GPYr2","PSYr2","TOIYr2","GPYr3","PSYr3","TOIYr3","GPYr4","PSYr4","TOIYr4","GPYr5","PSYr5","TOIYr5","GPYr6","PSYr6","TOIYr6","GPYr7","PSYr7","TOIYr7","TOI_sum_min","GP_sum","PS_sum"
"Taylor Beck","RW",2009,70,0,-2.5,0,0,-2.5,0,0,-2.5,0,16,0.7,257.5,7,-0.2,89.8833333333333,62,1.2,739.65,2,0,16.9666666666667,1104,87,-5.8
"Troy Hesketh","D",2009,71,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Michael Latta","C",2009,72,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,17,0.3,131.083333333333,53,0.1,444.05,43,0.5,347.683333333333,922.816666666666,113,-9.1
"Alexander Urbom","D",2009,73,0,-2.5,0,8,0.2,100.633333333333,5,0.4,67.9833333333333,1,-0.1,14.1833333333333,20,0.7,292.116666666667,0,-2.5,0,0,-2.5,0,474.916666666667,34,-6.3
"Ryan Howse","LW",2009,74,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Andrej Nestrasil","RW",2009,75,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,41,2.2,577.2,55,2.7,789.3,1366.5,96,-7.6
"Igor Bobkov","G",2009,76,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Matt Hackett","G",2009,77,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Sergei Andronov","RW",2009,78,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Mac Bennett","D",2009,79,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Ryan Bourque","C",2009,80,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,1,-0.1,11.8166666666667,0,-2.5,0,11.8166666666667,1,-15.1
"Adam Morrison","G",2009,81,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Cameron Abney","RW",2009,82,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Kevin Connauton","D",2009,83,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,36,0.9,551.9,54,3.8,908.683333333333,38,1.7,667.166666666667,2127.75,128,-3.6
"Nicolas Deslauriers","D",2009,84,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,17,-0.5,223.416666666667,82,-0.2,973.483333333333,70,0.4,722.983333333333,1919.88333333333,169,-10.3
"Cody Eakin","C",2009,85,0,-2.5,0,0,-2.5,0,30,1,278.3,48,2.2,724.066666666667,81,2.8,1403.85,78,4,1341.08333333333,82,3.4,1342.18333333333,5089.48333333333,319,8.4
"Ryan Button","D",2009,86,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Simon Bertilsson","D",2009,87,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Mattias Lindstrom","LW",2009,88,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
