DraftYr,DraftOv,Year1GAR,Year2GAR,Year3GAR,Year4GAR,Year5GAR,Year6GAR,Year7GAR,Year8GAR,Year9GAR,Year10GAR,Year11GAR,Year12GAR,Year13GAR,Year14GAR,Year15GAR,Year16GAR,GARsum,GARsum1_6
2009,45,-22.5,0.7,-22.5,-22.5,5.4,0.7,-22.5,-22.5,-22.5,-22.5,-26.432664756446993,-32.94642857142857,-22.5,-22.5,-22.5,-22.5,-60.7,-60.699999999999996
2009,46,-22.5,-4.2,4.9,9,7.6,-4.9,3.9,2.3,3.6,27.4,16.681948424068768,16.4,19.3,-22.5,-22.5,-22.5,-10.099999999999998,-10.099999999999998
2009,47,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-26.432664756446993,-32.94642857142857,-22.5,-22.5,-22.5,-22.5,-135,-135
2009,48,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-26.432664756446993,-32.94642857142857,-22.5,-22.5,-22.5,-22.5,-135,-135
2009,49,-22.5,-22.5,2.1,0.4,-22.5,-1.4,-0.8,-22.5,-22.5,-22.5,-26.432664756446993,-32.94642857142857,-22.5,-22.5,-22.5,-22.5,-66.4,-66.4
2009,50,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-26.432664756446993,-32.94642857142857,-22.5,-22.5,-22.5,-22.5,-135,-135
2009,51,-22.5,-22.5,-22.5,-22.5,0.9,1,9.9,0.3,3.6,8,10.69054441260745,5.564285714285714,6.9,2.1,6.1,0.5,-88.1,-88.1
2009,52,-22.5,-22.5,-22.5,2.9,-1.4,3.9,2.4,9.4,4.9,6.8,6.1088825214899725,0.4392857142857142,-0.8,-22.5,-22.5,-22.5,-62.1,-62.1
2009,53,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-26.432664756446993,-32.94642857142857,-22.5,-22.5,-22.5,-22.5,-135,-135
2009,54,-22.5,-22.5,-22.5,-22.5,6.6,0.1,1.9,1.2,-22.5,-22.5,-26.432664756446993,-32.94642857142857,-22.5,-22.5,-22.5,-22.5,-83.30000000000001,-83.30000000000001
