overall,raw_model_output,scaled_curve,shift_value,epsilon_added,raw_sum,adjusted_sum,metric
160,5.650371927870613,1.8801059293158076,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
161,5.608636890619619,1.866219004349192,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
162,5.567086716757103,1.8523935908648697,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
163,5.525713888578968,1.8386271874204172,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
164,5.48451088838111,1.824917292573409,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
165,5.4434701984594245,1.8112614048814193,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
166,5.402584301109809,1.797657022902023,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
167,5.361845678628159,1.7841016451927942,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
168,5.321246813310374,1.770592770311309,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
169,5.280780187452349,1.757127896815141,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
170,5.240438283349981,1.7437045232618649,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
171,5.200213583299166,1.7303201482090553,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
172,5.160098569595804,1.7169722702142878,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
173,5.120085724535787,1.703658387835136,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
174,5.080167530415018,1.6903759996291754,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
175,5.040336469529389,1.6771226041539802,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
176,5.000585024174798,1.6638956999671253,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
177,4.960905676647142,1.6506927856261853,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
178,4.92129090924232,1.6375113596887352,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
179,4.881733204256224,1.6243489207123487,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
180,4.842225043984755,1.6112029672546018,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
181,4.802758910723809,1.5980709978730683,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
182,4.763327286769283,1.5849505111253235,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
183,4.723922654417074,1.571839005568942,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
184,4.684537495963076,1.5587339797614972,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
185,4.645164293703189,1.5456329322605658,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
186,4.60579552993331,1.5325333616237213,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
187,4.566423686949333,1.5194327664085385,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
188,4.527041247047158,1.5063286451725926,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
189,4.48764069252268,1.4932184964734574,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
190,4.448214505671796,1.4800998188687082,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
191,4.408755168790405,1.4669701109159201,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
192,4.3692551641744,1.4538268711726667,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
193,4.329706974119681,1.4406675981965233,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
194,4.290103080922143,1.4274897905450645,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
195,4.250435966877685,1.4142909467758658,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
196,4.210698114282202,1.4010685654465007,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
197,4.170882005431591,1.3878201451145442,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
198,4.130980122621749,1.374543184337571,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
199,4.0909849481485745,1.3612351816731563,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
200,4.050888964307961,1.3478936356788738,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
201,4.010646024538798,1.3345031915383914,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
202,3.9700554668519303,1.3209970809397436,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
203,3.928878000401192,1.3072956821970574,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
204,3.886874334340416,1.293319373624459,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
205,3.843805177823441,1.2789885335360773,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
206,3.799431240004098,1.2642235402460378,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
207,3.753513230036224,1.248944772068468,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
208,3.7058118570736527,1.2330726073174951,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
209,3.656087830270219,1.2165274243072461,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
210,3.604101858779758,1.1992296013518478,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
211,3.5496146517561056,1.1810995167654277,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
212,3.492386918353095,1.1620575488621128,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
213,3.4321793677245616,1.1420240759560298,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
214,3.3687527090243385,1.1209194763613055,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
215,3.3018676514062633,1.098664128392068,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
216,3.231284904024168,1.075178410362443,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
217,3.1567651760318896,1.0503827005865587,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
218,3.0780691765832615,1.0241973773785416,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
219,2.9949576148321193,0.9965428190525187,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
220,2.907191199932297,0.9673394039226174,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
221,2.8145306410376296,0.9365075103029643,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
222,2.716736647301952,0.9039675165076868,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
223,2.613569927879099,0.8696398008509116,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
224,2.5047911919229056,0.8334447416467663,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
1,60.50915052423118,30.49248437224437,0.0,0.0,1984.3955574610159,1984.3955574610159,PS
2,51.501659100668114,25.95332311999488,0.0,0.0,1984.3955574610159,1984.3955574610159,PS
3,45.65912092476539,23.0090824145893,0.0,0.0,1984.3955574610159,1984.3955574610159,PS
4,42.00988672282364,21.1701173008945,0.0,0.0,1984.3955574610159,1984.3955574610159,PS
5,39.58230722114348,19.946782823777355,0.0,0.0,1984.3955574610159,1984.3955574610159,PS
6,37.56237004750666,18.92887227361402,0.0,0.0,1984.3955574610159,1984.3955574610159,PS
7,35.76661043561943,18.0239319228178,0.0,0.0,1984.3955574610159,1984.3955574610159,PS
8,34.16920052066915,17.218946289311283,0.0,0.0,1984.3955574610159,1984.3955574610159,PS
9,32.74431243784322,16.500899891017063,0.0,0.0,1984.3955574610159,1984.3955574610159,PS
10,31.466118322328985,15.856777245857723,0.0,0.0,1984.3955574610159,1984.3955574610159,PS
11,30.30879030931385,15.273562871755862,0.0,0.0,1984.3955574610159,1984.3955574610159,PS
12,29.246500533985145,14.738241286634054,0.0,0.0,1984.3955574610159,1984.3955574610159,PS
13,28.25342113153027,14.237797008414901,0.0,0.0,1984.3955574610159,1984.3955574610159,PS
14,27.30372423713661,13.759214555020995,0.0,0.0,1984.3955574610159,1984.3955574610159,PS
15,26.371581985991515,13.289478444374916,0.0,0.0,1984.3955574610159,1984.3955574610159,PS
16,25.436154540944443,12.818086820094157,0.0,0.0,1984.3955574610159,1984.3955574610159,PS
17,24.49655417549317,12.344592328575807,0.0,0.0,1984.3955574610159,1984.3955574610159,PS
