"response","method","Pick","fitted_value_raw","fitted_value_scaled","shift_value","epsilon_added","raw_sum","adjusted_sum"
"GP_sum","Loess",213,8.41141788471016,0.518285175173091,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",214,8.13799715897089,0.50143784804251,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",215,7.86527872187633,0.484633793734446,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",216,7.59323836875954,0.467871520833277,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",217,7.32185591976685,0.451149785919744,0,0,16229.3237152713,16229.3237152713
"GP_sum","B-spline",1,86.7968585008824,29.3016337717254,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",2,80.0489606746361,27.0236200941719,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",3,74.7205951251138,25.2248243931455,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",4,70.4646968452493,23.7880814635032,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",5,66.9342008279766,22.5962261001019,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",6,63.8329044085242,21.5492636469685,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",7,61.0680542913001,20.6158816448101,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",8,58.5977595230068,19.7819381835038,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",9,56.3801291503468,19.0332913529266,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",10,54.3732722200229,18.3557992429558,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",11,52.5352977787375,17.7353199434684,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",12,50.8243148731932,17.1577115443415,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",13,49.1984325500927,16.6088321354522,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",14,47.6157598561386,16.0745398066776,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",15,46.0344058380333,15.5406926478948,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",16,44.4210453875992,14.9960404810203,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",17,42.7766167771374,14.440900056128,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",18,41.1106241240685,13.878479855331,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",19,39.4325715458134,13.3119883607428,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",20,37.7519631597928,12.7446340544764,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",21,36.0783030834274,12.1796254186452,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",22,34.421095434138,11.6201709353624,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",23,32.7898443293453,11.0694790867413,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",24,31.1940538864702,10.5307583548951,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",25,29.6432282229332,10.007217221937,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",26,28.1468714561552,9.50206416998038,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",27,26.714487703557,9.01850768113837,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",28,25.3555810825592,8.55975623752426,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",29,24.0796557105827,8.1290183212513,0,0,2962.18494767473,2962.18494767473
"GP_sum","B-spline",30,22.8962157050481,7.72950241443274,0,0,2962.18494767473,2962.18494767473
