Selection,Response,Method,fitted_raw,fitted_adjusted,scaled_value,shift_applied,shift_value
62,TOI_sum_min,Loess,1169.507220632776,1169.507220632776,4.60946402685088,FALSE,0
63,TOI_sum_min,Loess,1105.2725606492052,1105.2725606492052,4.356291280887785,FALSE,0
64,TOI_sum_min,Loess,1035.204566023596,1035.204566023596,4.080127188043983,FALSE,0
65,TOI_sum_min,Loess,966.9855890069158,966.9855890069158,3.8112507630341264,FALSE,0
66,TOI_sum_min,Loess,910.2478083432553,910.2478083432553,3.587626013807701,FALSE,0
67,TOI_sum_min,Loess,866.0059197803911,866.0059197803911,3.4132522346529828,FALSE,0
68,TOI_sum_min,Loess,832.4161187579873,832.4161187579873,3.280862304304305,FALSE,0
69,TOI_sum_min,Loess,807.0102256587387,807.0102256587387,3.1807282065877955,FALSE,0
70,TOI_sum_min,Loess,786.0241054162223,786.0241054162223,3.0980140816859354,FALSE,0
71,TOI_sum_min,Loess,765.2979562922153,765.2979562922153,3.016324599896703,FALSE,0
72,TOI_sum_min,Loess,737.2267093847014,737.2267093847014,2.905685349000052,FALSE,0
73,TOI_sum_min,Loess,701.5103370820568,701.5103370820568,2.764913808308259,FALSE,0
74,TOI_sum_min,Loess,663.9876444342768,663.9876444342768,2.6170228856195195,FALSE,0
75,TOI_sum_min,Loess,631.2224666608727,631.2224666608727,2.4878831029697266,FALSE,0
76,TOI_sum_min,Loess,610.9899405625118,610.9899405625118,2.408139173580171,FALSE,0
77,TOI_sum_min,Loess,606.871592419093,606.871592419093,2.391907227951937,FALSE,0
78,TOI_sum_min,Loess,609.2542749260964,609.2542749260964,2.401298268135081,FALSE,0
79,TOI_sum_min,Loess,610.4591944226256,610.4591944226256,2.4060473051452997,FALSE,0
80,TOI_sum_min,Loess,608.8696797240324,608.8696797240324,2.3997824350409904,FALSE,0
81,TOI_sum_min,Loess,601.9149397228906,601.9149397228906,2.3723712115053046,FALSE,0
82,TOI_sum_min,Loess,588.7804570569845,588.7804570569845,2.3206033179073207,FALSE,0
83,TOI_sum_min,Loess,571.0025484332022,571.0025484332022,2.2505339512302784,FALSE,0
84,TOI_sum_min,Loess,549.9703741659603,549.9703741659603,2.1676383102449615,FALSE,0
85,TOI_sum_min,Loess,528.6430251811989,528.6430251811989,2.083579275637068,FALSE,0
86,TOI_sum_min,Loess,509.55218447153374,509.55218447153374,2.0083351540608634,FALSE,0
87,TOI_sum_min,Loess,496.32116672532874,496.32116672532874,1.956186779716702,FALSE,0
88,TOI_sum_min,Loess,491.1233202710046,491.1233202710046,1.9357001287361824,FALSE,0
89,TOI_sum_min,Loess,494.4130634673379,494.4130634673379,1.9486662333087315,FALSE,0
90,TOI_sum_min,Loess,505.4314625868227,505.4314625868227,1.9920938526331085,FALSE,0
91,TOI_sum_min,Loess,519.3244800158346,519.3244800158346,2.046851414564871,FALSE,0
92,TOI_sum_min,Loess,532.4724396243133,532.4724396243133,2.0986724258186364,FALSE,0
93,TOI_sum_min,Loess,545.3204436139906,545.3204436139906,2.1493112001352337,FALSE,0
94,TOI_sum_min,Loess,560.2128393415895,560.2128393415895,2.2080076845766494,FALSE,0
95,TOI_sum_min,Loess,582.3514515636006,582.3514515636006,2.2952642100956173,FALSE,0
96,TOI_sum_min,Loess,611.7992480234025,611.7992480234025,2.4113289560473703,FALSE,0
97,TOI_sum_min,Loess,642.5331701174356,642.5331701174356,2.532462802677092,FALSE,0
98,TOI_sum_min,Loess,666.946191635032,666.946191635032,2.628683623281527,FALSE,0
99,TOI_sum_min,Loess,683.3592724697355,683.3592724697355,2.6933736947429296,FALSE,0
100,TOI_sum_min,Loess,691.7600055852145,691.7600055852145,2.726484116304948,FALSE,0
101,TOI_sum_min,Loess,692.3248858331723,692.3248858331723,2.728710519987202,FALSE,0
102,TOI_sum_min,Loess,685.6513466471296,685.6513466471296,2.7024076137142514,FALSE,0
103,TOI_sum_min,Loess,674.5390887062784,674.5390887062784,2.6586100617780373,FALSE,0
104,TOI_sum_min,Loess,659.9810389321818,659.9810389321818,2.601231359405858,FALSE,0
105,TOI_sum_min,Loess,644.0457918570283,644.0457918570283,2.538424608959154,FALSE,0
106,TOI_sum_min,Loess,627.0238733556868,627.0238733556868,2.471334881238218,FALSE,0
107,TOI_sum_min,Loess,608.6382856512113,608.6382856512113,2.39887042472085,FALSE,0
108,TOI_sum_min,Loess,588.3142716047737,588.3142716047737,2.3187659072151114,FALSE,0
109,TOI_sum_min,Loess,566.9477414794952,566.9477414794952,2.234552445123096,FALSE,0
110,TOI_sum_min,Loess,546.1567061619236,546.1567061619236,2.1526072226511217,FALSE,0
111,TOI_sum_min,Loess,530.8107119981545,530.8107119981545,2.0921229376409927,FALSE,0
112,TOI_sum_min,Loess,524.0006635136425,524.0006635136425,2.0652819973229977,FALSE,0
113,TOI_sum_min,Loess,526.4307336809176,526.4307336809176,2.074859809944554,FALSE,0
114,TOI_sum_min,Loess,537.9681659817738,537.9681659817738,2.120333132566923,FALSE,0
115,TOI_sum_min,Loess,554.6426785151482,554.6426785151482,2.186053603831972,FALSE,0
116,TOI_sum_min,Loess,568.2383158495097,568.2383158495097,2.2396390799275725,FALSE,0
117,TOI_sum_min,Loess,575.7811292083571,575.7811292083571,2.2693681198389686,FALSE,0
118,TOI_sum_min,Loess,576.0516074639662,576.0516074639662,2.2704341754966677,FALSE,0
119,TOI_sum_min,Loess,569.3531317724487,569.3531317724487,2.244032985157647,FALSE,0
120,TOI_sum_min,Loess,556.9743217053456,556.9743217053456,2.1952434790367197,FALSE,0
121,TOI_sum_min,Loess,541.6865856500808,541.6865856500808,2.134988810954716,FALSE,0
122,TOI_sum_min,Loess,526.3043785528479,526.3043785528479,2.074361797271208,FALSE,0
123,TOI_sum_min,Loess,511.261352321268,511.261352321268,2.015071621848499,FALSE,0
124,TOI_sum_min,Loess,495.7221696917411,495.7221696917411,1.9538259090612662,FALSE,0
125,TOI_sum_min,Loess,477.69975924305186,477.69975924305186,1.8827928695256686,FALSE,0
126,TOI_sum_min,Loess,455.07985593330307,455.07985593330307,1.7936393963724904,FALSE,0
127,TOI_sum_min,Loess,427.93409000891216,427.93409000891216,1.6866478111113987,FALSE,0
128,TOI_sum_min,Loess,400.29488551092675,400.29488551092675,1.5777114004449415,FALSE,0
129,TOI_sum_min,Loess,376.73663997424165,376.73663997424165,1.4848595706988064,FALSE,0
130,TOI_sum_min,Loess,363.5790544761116,363.5790544761116,1.433000620224751,FALSE,0
131,TOI_sum_min,Loess,361.90599016534134,361.90599016534134,1.426406449945981,FALSE,0
132,TOI_sum_min,Loess,367.8908266494471,367.8908266494471,1.449994922076272,FALSE,0
133,TOI_sum_min,Loess,377.0552517713129,377.0552517713129,1.4861153385908041,FALSE,0
134,TOI_sum_min,Loess,385.7565541233633,385.7565541233633,1.5204104155864198,FALSE,0
135,TOI_sum_min,Loess,389.12333323125193,389.12333323125193,1.533680147410537,FALSE,0
136,TOI_sum_min,Loess,385.6589504215125,385.6589504215125,1.5200257230042522,FALSE,0
137,TOI_sum_min,Loess,378.44533859093747,378.44533859093747,1.4915941890640765,FALSE,0
138,TOI_sum_min,Loess,373.38219348137034,373.38219348137034,1.4716384463088943,FALSE,0
139,TOI_sum_min,Loess,375.55828716454613,375.55828716454613,1.4802152429072335,FALSE,0
140,TOI_sum_min,Loess,385.7043440391788,385.7043440391788,1.520204636177245,FALSE,0
141,TOI_sum_min,Loess,401.5387369770027,401.5387369770027,1.58261388286358,FALSE,0
142,TOI_sum_min,Loess,420.4269186629527,420.4269186629527,1.6570592496625152,FALSE,0
143,TOI_sum_min,Loess,435.05244680807766,435.05244680807766,1.7147039094553571,FALSE,0
144,TOI_sum_min,Loess,441.0329568825528,441.0329568825528,1.7382753295921196,FALSE,0
145,TOI_sum_min,Loess,438.97615816570084,438.97615816570084,1.730168718937187,FALSE,0
146,TOI_sum_min,Loess,431.82295560100056,431.82295560100056,1.7019752804384292,FALSE,0
147,TOI_sum_min,Loess,425.115969844201,425.115969844201,1.6755405487590116,FALSE,0
148,TOI_sum_min,Loess,423.83855671357685,423.83855671357685,1.6705057873063607,FALSE,0
149,TOI_sum_min,Loess,427.8561850148203,427.8561850148203,1.686340758481502,FALSE,0
150,TOI_sum_min,Loess,436.7399332589188,436.7399332589188,1.7213549227656826,FALSE,0
151,TOI_sum_min,Loess,446.9384522839973,446.9384522839973,1.761551088931992,FALSE,0
152,TOI_sum_min,Loess,455.16410501487996,455.16410501487996,1.793971453416665,FALSE,0
153,TOI_sum_min,Loess,458.3073687205899,458.3073687205899,1.8063602276993382,FALSE,0
154,TOI_sum_min,Loess,453.35477610582075,453.35477610582075,1.7868402135475023,FALSE,0
155,TOI_sum_min,Loess,440.7946305464173,440.7946305464173,1.737335996637447,FALSE,0
156,TOI_sum_min,Loess,423.54706394457355,423.54706394457355,1.669356905615762,FALSE,0
157,TOI_sum_min,Loess,407.4907147164188,407.4907147164188,1.606072846429116,FALSE,0
158,TOI_sum_min,Loess,395.26875884014044,395.26875884014044,1.557901561159939,FALSE,0
159,TOI_sum_min,Loess,385.8423954965764,385.8423954965764,1.5207487484456448,FALSE,0
160,TOI_sum_min,Loess,378.17044596958897,378.17044596958897,1.4905107347450282,FALSE,0
161,TOI_sum_min,Loess,371.943054447719,371.943054447719,1.465966262770204,FALSE,0
162,TOI_sum_min,Loess,366.67834427689615,366.67834427689615,1.445216076951707,FALSE,0
163,TOI_sum_min,Loess,359.18201775078,359.18201775078,1.4156702589814985,FALSE,0
164,TOI_sum_min,Loess,347.62448026214287,347.62448026214287,1.3701176943175293,FALSE,0
165,TOI_sum_min,Loess,332.64172984713457,332.64172984713457,1.3110650883627761,FALSE,0
166,TOI_sum_min,Loess,314.84671210865304,314.84671210865304,1.2409282882852846,FALSE,0
167,TOI_sum_min,Loess,296.66293727778776,296.66293727778776,1.1692592515521216,FALSE,0
168,TOI_sum_min,Loess,279.43653309971194,279.43653309971194,1.1013635695332697,FALSE,0
169,TOI_sum_min,Loess,266.3916267410691,266.3916267410691,1.049948729562236,FALSE,0
170,TOI_sum_min,Loess,259.4408192750651,259.4408192750651,1.0225530056138397,FALSE,0
171,TOI_sum_min,Loess,256.71680784699623,256.71680784699623,1.0118166608825772,FALSE,0
172,TOI_sum_min,Loess,257.44162761057504,257.44162761057504,1.0146734458320188,FALSE,0
