Name,Position,Year,Selection,GPYr1,PSYr1,TOIYr1,GPYr2,PSYr2,TOIYr2,GPYr3,PSYr3,TOIYr3,GPYr4,PSYr4,TOIYr4,GPYr5,PSYr5,TOIYr5,GPYr6,PSYr6,TOIYr6,GPYr7,PSYr7,TOIYr7
Blade Jenkins,LW,2018,134,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Brandon Kruse,LW,2018,135,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Akira Schmid,G,2018,136,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Riley Damiani,C,2018,137,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,7,0.2,59:45,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Hugh McGing,LW,2018,138,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,1,0.0,9:37,5,-0.2,41:54,0,N/A,0:00
Mikael Hakkarainen,C,2018,139,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Brandon Saigeon,C,2018,140,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Yegor Sharangovich,C,2018,141,0,N/A,0:00,0,N/A,0:00,54,3.0,907:36,76,4.2,1254:35,75,2.1,1081:22,82,5.3,1419:49,42,2.8,731:59
Michael Callahan,D,2018,142,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,4,0.3,62:59
Samuel Ersson,G,2018,143,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
David Hrenak,G,2018,144,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Dennis Busby,D,2018,145,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Danila Zhuravlyov,D,2018,146,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Roman Durny,G,2018,147,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Simon Johansson,D,2018,148,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Filip Kral,D,2018,149,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,2,0.0,19:55,0,N/A,0:00,0,N/A,0:00
Declan Chisholm,D,2018,150,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,2,0.1,25:54,0,N/A,0:00,29,0.9,489:18,44,4.2,781:08
Vladislav Yeryomenko,D,2018,151,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Magnus Chrona,G,2018,152,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Giovanni Vallati,D,2018,153,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Connor Corcoran,D,2018,154,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Damien Giroux,C,2018,155,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,1,0.1,13:57,0,N/A,0:00,0,N/A,0:00
Pontus Holmberg,RW,2018,156,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,37,1.1,385:32,54,1.5,624:42,39,1.0,520:57
Kevin Mandolese,G,2018,157,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
David Tendeck,G,2018,158,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Tim Berni,D,2018,159,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,59,-0.3,1000:54,0,N/A,0:00,0,N/A,0:00
Victor Brattstrom,G,2018,160,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Alex Kannok-Leipert,D,2018,161,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Alexis Gravel,G,2018,162,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Simon Kjellberg,D,2018,163,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Michael Kesselring,D,2018,164,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,9,0.3,153:51,65,4.0,1026:32,50,7.7,955:05
Johan Sodergran,RW,2018,165,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Jesper Sellgren,D,2018,166,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Mathias Emilio Pettersen,C,2018,167,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Dawson Barteaux,D,2018,168,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Mathias Laferriere,RW,2018,169,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Justin Schutz,LW,2018,170,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Nikolai Kovalenko,RW,2018,171,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,16,1.0,197:58
Mitchell Hoelscher,C,2018,172,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Veini Vehvilainen,G,2018,173,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Gavin Hain,C,2018,174,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Jacob Ingham,G,2018,175,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Zachary Emond,G,2018,176,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Liam Gorman,C,2018,177,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Hunter Drew,D,2018,178,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,2,0.0,19:43,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Shawn Boudrias,RW,2018,179,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Peter Diliberatore,D,2018,180,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Dustyn McFaul,D,2018,181,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
John Leonard,LW,2018,182,0,N/A,0:00,0,N/A,0:00,44,0.6,494:51,14,-0.1,157:55,6,0.1,69:14,6,0.1,41:12,0,N/A,0:00
Cole Koepke,LW,2018,183,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,17,-0.2,154:43,9,0.1,60:19,45,2.5,481:21
Jared Moe,G,2018,184,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Xavier Bouchard,D,2018,185,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Artyom Manukyan,RW,2018,186,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
William Worge Kreu,D,2018,187,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Jakov Novak,LW,2018,188,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Liam Kirk,LW,2018,189,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Brett Stapley,C,2018,190,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
