overall,expected_draft_value,value_floor_5pct,value_ceiling_95pct,raw_model_output,raw_floor_5pct,raw_ceiling_95pct
30,22.75300607643316,21.60001635498763,23.921477967806933,13.767650695576407,13.06998640949802,14.474683111161097
31,21.813288396685863,20.692773366861076,22.937627663179097,13.199035510235303,12.521021384191988,13.87936364940073
32,20.957158505666758,19.861057238836754,22.065405808242463,12.680998585795617,12.017757020351443,13.351589614291882
33,20.18023188482076,19.090478557646623,21.274763643525507,12.210886887325088,11.551486406242473,12.873178756735259
34,19.478124015592723,18.379685516034776,20.573752710837017,11.786047379891425,11.1213915747778,12.449002996283463
35,18.84645037942753,17.74826962850956,19.943057134475843,11.403827028562343,10.739327184961256,12.067374460633413
36,18.28082645777007,17.181224790883153,19.379398242726456,11.061572798405571,10.39621317062201,11.726309253381565
37,17.776867732065213,16.6648722320097,18.87664935932716,10.756631654488821,10.083772623537554,11.422100174766593
38,17.330189683757837,16.208989744395126,18.434329849116622,10.486350561879812,9.80792200289324,11.154456396535256
39,16.93640779429282,15.807437933331457,18.0451285255555,10.248076485646264,9.56494641310395,10.918953981819357
40,16.591137545115046,15.461449577871658,17.699466272885477,10.039156390855897,9.355591798302468,10.709796689045804
41,16.28999441766939,15.164588193104507,17.393871135923852,9.856937242576429,9.175963496145396,10.524883667626964
42,16.028593893400732,14.9126910274545,17.123459796536835,9.698766005875575,9.023542661015961,10.361260063242684
43,15.802551453753951,14.690404576566578,16.888570917193594,9.561989645821061,8.889039017853218,10.219130797676202
44,15.607482580173917,14.50434396548951,16.680483962615675,9.443955127480596,8.776455322630289,10.09321914910936
45,15.439002754105518,14.353301050663088,16.503030592168457,9.342009415921906,8.685060537941784,9.985843622075134
46,15.292727456993632,14.220688353385306,16.34628528229551,9.253499476212708,8.604817721331727,9.890998366584439
47,15.164272170283136,14.106823363020824,16.20418454795657,9.175772273420721,8.535918982917682,9.80501441934725
48,15.049252375418906,14.004653460074174,16.07529686461472,9.106174772613663,8.474096842553232,9.727025577026737
49,14.943283553845827,13.92062597727915,15.959281032355173,9.042053938859254,8.423252526507069,9.656825382452867
50,14.841981187008772,13.832091302814787,15.845760618774221,8.980756737225212,8.36968094706929,9.58813514452344
51,14.74169367649708,13.743640698844343,15.723243392286635,8.920073616532688,8.316160237973222,9.514001011529952
52,14.641701104477951,13.660220578789955,15.609852898181133,8.859568960616583,8.265683431962017,9.445389386771485
53,14.542016473263047,13.575458193421069,15.501067965966433,8.799250637065231,8.214394432611229,9.37956454839001
54,14.442652785164025,13.485094094331817,15.39028459185144,8.739126513466967,8.15971588387345,9.312530469790946
55,14.343623042492528,13.394803029549475,15.281112383545645,8.679204457410112,8.10508152757437,9.246471293936565
56,14.244940247560233,13.30083433873213,15.168760141440176,8.619492336483011,8.048221871002054,9.17848790664362
57,14.146617402678789,13.211577789487935,15.059973802993744,8.559998018273992,7.994213491267148,9.112662217363267
58,14.048667510159863,13.119925685995105,14.949048221584336,8.500729370371392,7.938755582006048,9.04554209033837
59,13.9511035723151,13.02914358019035,14.845871276790731,8.441694260363537,7.883824100955582,8.983110597506906
60,13.85393859145616,12.941455320896718,14.737659004709702,8.382900555838761,7.830764680147521,8.917632270907704
61,13.757185569894714,12.85253197829811,14.632522778476627,8.324356124385403,7.77695792092335,8.854015233520837
62,13.660857509942412,12.769049928780857,14.528077567040656,8.266068833591794,7.726443641920244,8.790816323317694
63,13.564967413910907,12.682474297926486,14.424891862068312,8.20804655104626,7.6740574631292695,8.72837952977649
64,13.469528284111865,12.589446682773886,14.325421980703647,8.150297144337141,7.61776724344748,8.66819114953527
65,13.37455312285694,12.501866110211097,14.223021197653571,8.092828481052768,7.564772982965478,8.606229305581508
66,13.280054932457789,12.416929787523195,14.122839508930118,8.035648428781471,7.513378735620508,8.545610216754117
67,13.186046715226079,12.335124994904819,14.02296635328525,7.978764855111589,7.46387935051902,8.485177818671664
68,13.092541473473455,12.249352480517734,13.92401427223013,7.922185627631448,7.411979130680122,8.425302754999162
69,12.999552209511586,12.160119160309655,13.823499416452353,7.865918613929387,7.3579848066376465,8.364482069617374
70,12.907091925652127,12.074243724752254,13.724683174797562,7.809971681593735,7.306022310072879,8.304689201212087
71,12.815173624206736,11.98650262589411,13.623671927470538,7.754352698212826,7.25293091649319,8.243568153520576
72,12.72381030748707,11.901375891597308,13.53062085112942,7.699069531374994,7.201421452701176,8.187263737672911
73,12.633014977804786,11.818738320510283,13.437097554168263,7.644130048668568,7.151418160422559,8.13067358513946
74,12.542800637471549,11.733268806721421,13.338767452852835,7.589542117681887,7.099701283671728,8.071174876123878
75,12.453180288799008,11.648507921673712,13.247806403563462,7.535313606003278,7.04841319215254,8.016135117890952
76,12.364166934098826,11.56337359452856,13.161403213118051,7.481452381221078,6.996899133992488,7.963853281326601
77,12.275773575682662,11.482665753202681,13.071863284519031,7.427966310923619,6.948063504799754,7.90967343115133
78,12.188013215862172,11.40298776272652,12.979929628843358,7.374863262699231,6.899851029607852,7.85404515705611
79,12.10089885694901,11.319268186177712,12.889070907534899,7.322151104136248,6.849193025015685,7.799067316615182
80,12.014443501254847,11.236189287310552,12.797345994370021,7.269837702823006,6.798922689046281,7.743565350840026
81,11.92866015109133,11.155529357084754,12.707231453527568,7.217930926347836,6.7501160504532125,7.689037807677446
82,11.843561808770119,11.071709747844569,12.619916761764252,7.1664386422990685,6.699397516929247,7.636204429408613
83,11.759161476602875,10.988846036101783,12.530496450037427,7.1153687182650405,6.64925738886084,7.582096958386592
84,11.67547215690126,10.91127780783207,12.44130128405331,7.064729021834084,6.60232151285814,7.528125721140924
85,11.59250685197692,10.829870726573727,12.358261282440298,7.014527420594528,6.553062779522146,7.477878921569583
86,11.51027856414152,10.748299449892441,12.276751276934839,6.964771782134708,6.503704692930529,7.428557909645975
87,11.428800295706722,10.670161802110828,12.195443850026939,6.915469974042959,6.45642426601826,7.379359476310895
88,11.348085048984178,10.590488090491922,12.110808446794708,6.86662986390761,6.408214379926534,7.328147312772314
89,11.26814582628555,10.510532877392745,12.028322101155984,6.818259319316998,6.359834159680382,7.278235525727841
90,11.188995629922495,10.429879827240734,11.946106816156126,6.7703662078594515,6.311031684161519,7.228487755173352
91,11.110647462206673,10.355084372554545,11.868043297330894,6.722958397123308,6.26577358990017,7.18125218306288
92,11.033114325449738,10.280808220319885,11.79263425103027,6.676043754696895,6.220829721140892,7.135622809727948
93,10.956409221963348,10.201331946060234,11.716316283539179,6.629630148168548,6.172739302718068,7.089443455901731
94,10.880545154059169,10.125661589623823,11.637839311097178,6.583725445126603,6.126951812839739,7.04195770651994
