overall,expected_draft_value,value_ceiling_97pct,value_floor_3pct,raw_model_output,raw_floor_3pct,raw_ceiling_97pct
59,22.329029950980996,23.662766029755083,21.01477936798553,15.288495491549842,14.388639377916471,16.201693157190448
60,22.184284338801522,23.5115382923836,20.880481448250137,15.189389411075876,14.296686742942784,16.098148821136583
61,22.04008542308149,23.361329415299423,20.74632470850829,15.090657648983576,14.204830772701042,15.995302089991805
62,21.896453384222372,23.199474909388165,20.61394780195366,14.992314022620926,14.114193438992919,15.884481696569269
63,21.753408402625627,23.04416044445853,20.47305341238376,14.894372349335896,14.017724257642321,15.778139213171558
64,21.61097065869272,22.891799710598956,20.342395248234343,14.796846446476462,13.928263732132802,15.67381912412985
65,21.469160332825126,22.74535239294193,20.203586247692687,14.699750131390605,13.833222398782162,15.573547900495674
66,21.32799760542429,22.599624876121702,20.069802495972525,14.603097221426294,13.741621810243092,15.473769518327176
67,21.187502656891688,22.449662159169847,19.932480225947423,14.506901533931511,13.64759842853878,15.371091330915892
68,21.047695667628787,22.293684714186643,19.797400667475376,14.411176886254234,13.555110612219211,15.264294910755938
69,20.908596818037033,22.154829444848442,19.668555700690185,14.315937095742429,13.466891567409442,15.169221897556737
70,20.770226288517915,22.006915239028494,19.545281613235606,14.221195979744083,13.382486855945858,15.067946308165753
71,20.63260425947288,21.846834245101984,19.422133056843677,14.126967355607166,13.298168094525318,14.958340223203665
72,20.495750911303396,21.701097614997057,19.294132553397827,14.033265040679655,13.210527246528605,14.858555601247218
73,20.359686424410924,21.550050707798118,19.17206887052763,13.940102852309524,13.126951288713162,14.755135078063134
74,20.22443097919694,21.402970056549506,19.04559691816141,13.847494607844755,13.040357026543994,14.654430216345224
75,20.090004756062896,21.257067620987936,18.919777094720242,13.75545412463332,12.954209271462346,14.55453206881324
76,19.95642793541026,21.111412313653865,18.79532728291741,13.663995220023196,12.868999551611159,14.454803127861219
77,19.8237206976405,20.96776989015221,18.675208548347634,13.57313171136236,12.78675528323263,14.356452391222797
